OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106871H,-97.819406,29.004792,1/1/2014,2991,2991,1495,50,1092,1898,0.72,12659,37360,67307
MARATHON OIL EF LLC,1420200105075H,-97.934934,28.886878,9/1/2015,4205,4205,852,16,284,1366,1.26,14255,54122,68796
MURPHY EXPLORATION & PRODUCTION CO-U,142020009586F  1H,-97.761147,29.010292,1/1/2013,4893,4893,1216,42,652,2132,0.69,5048,37521,70037
MURPHY EXPLORATION & PRODUCTION CO-U,1420200109315H,-97.934339,28.958878,2/1/2016,4663,4663,1748,49,408,682,0.85,12476,48239,71267
MARATHON OIL EF LLC,1420200105434H,-97.958987,28.927106,7/1/2013,5264,5264,750,12,692,784,1.43,17304,51223,71946
MARATHON OIL EF LLC,1420200105433H,-97.958922,28.927164,7/1/2013,5634,5634,691,13,482,892,1.29,17242,52306,72986
MURPHY EXPLORATION & PRODUCTION CO-U,142020009586G  1H,-97.7611,29.010292,1/1/2013,5253,5253,1186,42,727,927,0.68,5235,36458,74450
MARATHON OIL EF LLC,1420200105074H,-97.935031,28.886875,9/1/2015,4447,4447,855,16,250,1172,1.23,15308,58996,74911
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096167H,-97.847889,29.006733,10/1/2015,4775,4775,1706,41,863,808,0.98,17819,60004,75529
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200103964H,-97.803986,29.028736,10/1/2014,3112,3112,689,16,417,1098,1.01,15720,45502,75838
ENCANA OIL & GAS (USA) INCORPORATED,14202001010513H,-97.72411,29.053614,5/1/2015,3649,3649,2031,31,226,643,1.55,12513,51986,75937
MARATHON OIL EF LLC,1420200098844H,-97.949514,28.876039,3/1/2013,5146,5146,522,13,341,1009,0.97,14588,56021,76968
ENCANA OIL & GAS (USA) INCORPORATED,14202001010512H,-97.724173,29.053612,5/1/2015,3382,3382,2648,36,235,1284,1.74,12434,51686,77340
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100486H,-97.857918,28.965373,8/1/2013,3826,3826,653,16,452,1094,1,15717,62025,80519
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200103965H,-97.803936,29.028736,10/1/2014,2830,2830,688,16,412,1035,1.04,17177,49445,80911
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200103963H,-97.80403,29.02873,11/1/2014,3361,3361,639,16,426,901,0.97,18068,51037,81571
MARATHON OIL EF LLC,1420200099002H,-97.96423,28.90852,4/1/2014,5701,5701,966,22,332,806,1.04,12876,49399,82441
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100482H,-97.857948,28.96534,8/1/2013,3833,3833,653,15,464,1017,1.05,19179,68776,83568
MARATHON OIL EF LLC,1420200099003H,-97.964326,28.908518,4/1/2014,5556,5556,906,23,326,801,0.94,13346,51238,84359
MURPHY EXPLORATION & PRODUCTION CO-U,142020009586H  1H,-97.767339,29.009689,12/1/2015,5546,5546,1655,45,472,1335,0.88,17924,52888,85594
EOG RESOURCES INCORPORATED,1420200095824H,-97.83947,29.060986,2/1/2012,4550,4550,982,15,717,1305,1.54,17953,62967,86563
MARATHON OIL EF LLC,1420200105391H,-97.950286,28.910886,6/1/2013,5029,5029,794,15,665,908,1.28,13134,59317,86711
ENCANA OIL & GAS (USA) INCORPORATED,14202001010514H,-97.72405,29.053614,6/1/2015,4005,4005,2649,36,322,924,1.78,13444,61512,87151
